AE000041196,20010101,TMAX,238
AE000041196,20010101,TMIN,121
AE000041196,20010101,TAVG,181
AEM00041194,20010101,TMIN,137
AEM00041194,20010101,TAVG,188
AEM00041217,20010101,TMAX,241
AEM00041217,20010101,TMIN,126
AEM00041217,20010101,TAVG,181
AEM00041218,20010101,TAVG,167
AG000060390,20010101,TMAX,217
AG000060390,20010101,TAVG,81
AG000060590,20010101,TMAX,188
AG000060590,20010101,TMIN,24
AG000060590,20010101,TAVG,101
AG000060611,20010101,TMAX,137
AG000060611,20010101,TMIN,27
AG000060611,20010101,TAVG,94
AG000060680,20010101,TMAX,231
AG000060680,20010101,TMIN,64
AG000060680,20010101,TAVG,151
AGE00147718,20010101,TMAX,140
AGE00147718,20010101,TMIN,40
AGE00147718,20010101,TAVG,86
AGM00060351,20010101,TMAX,172
AGM00060351,20010101,TAVG,109
AGM00060355,20010101,TMAX,165
AGM00060355,20010101,TMIN,72
AGM00060355,20010101,PRCP,10
AGM00060355,20010101,TAVG,110
AGM00060360,20010101,TMIN,60
AGM00060360,20010101,PRCP,30
AGM00060360,20010101,TAVG,98
AGM00060402,20010101,TMIN,35
AGM00060402,20010101,PRCP,41
AGM00060402,20010101,TAVG,97
AGM00060419,20010101,TMAX,97
AGM00060419,20010101,TMIN,-1
AGM00060419,20010101,PRCP,20
AGM00060419,20010101,TAVG,45
AGM00060425,20010101,TMAX,170
AGM00060425,20010101,TAVG,122
AGM00060430,20010101,TMAX,175
AGM00060430,20010101,TAVG,139
AGM00060444,20010101,TMAX,101
AGM00060444,20010101,TAVG,43
AGM00060445,20010101,TMAX,88
AGM00060445,20010101,TMIN,-27
AGM00060445,20010101,PRCP,10
AGM00060445,20010101,TAVG,28
AGM00060468,20010101,TMAX,114
AGM00060468,20010101,TAVG,33
AGM00060475,20010101,TMAX,122
AGM00060475,20010101,TMIN,5
AGM00060475,20010101,TAVG,56
AGM00060490,20010101,TMAX,205
AGM00060490,20010101,TAVG,111
AGM00060506,20010101,TMAX,207
AGM00060506,20010101,TMIN,25
AGM00060506,20010101,TAVG,108
AGM00060511,20010101,TMIN,3
AGM00060511,20010101,TAVG,82
AGM00060515,20010101,TMAX,112
AGM00060515,20010101,TMIN,-24
AGM00060515,20010101,TAVG,68
AGM00060518,20010101,TMAX,192
AGM00060518,20010101,TMIN,120
AGM00060518,20010101,TAVG,155
AGM00060531,20010101,TMAX,223
AGM00060531,20010101,TMIN,56
AGM00060531,20010101,TAVG,132
AGM00060535,20010101,TMAX,154
AGM00060535,20010101,TMIN,0
AGM00060535,20010101,TAVG,80
AGM00060549,20010101,TMAX,176
AGM00060549,20010101,TAVG,113
AGM00060550,20010101,TMAX,161
AGM00060550,20010101,TMIN,0
AGM00060550,20010101,PRCP,8
AGM00060550,20010101,TAVG,88
AGM00060555,20010101,TMAX,160
AGM00060555,20010101,TAVG,76
AGM00060559,20010101,TMIN,12
AGM00060559,20010101,TAVG,81
AGM00060560,20010101,TMAX,195
AGM00060560,20010101,TMIN,-13
AGM00060560,20010101,TAVG,102
AGM00060566,20010101,TMAX,181
AGM00060566,20010101,TMIN,45
AGM00060566,20010101,TAVG,110
AGM00060571,20010101,TMAX,198
AGM00060571,20010101,TAVG,140
AGM00060580,20010101,TMAX,171
AGM00060580,20010101,TMIN,25
AGM00060580,20010101,TAVG,95
AGM00060581,20010101,TMAX,155
AGM00060581,20010101,TAVG,89
AGM00060602,20010101,TMAX,233
AGM00060602,20010101,TMIN,90
AGM00060602,20010101,TAVG,174
AGM00060607,20010101,TMAX,220