Unique ID,Q1-Pre,Q2-Pre,Q3-Pre,Q4-Pre,Participated in Intervention?,Q1-Post,Q2-Post,Q3-Post,Q4-Post,,,,,,,,,,,,,,,,,,,,
efabcca1-ed70-4fef-9536-159886dcd11f,,,,,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
4bb91f0e-6ad3-4597-a14b-96546941d32d,3,3,2,4,Yes,3,4,3,4,,,,,,,,,,,,,,,,,,,,
3c1e028d-f86e-4d8d-9dea-91d4ca2232cc,3,5,4,4,Yes,4,4,4,3,,,,,,,,,,,,,,,,,,,,
c5da879c-4d05-47e4-93a0-bb5f40bdf1e4,,,,,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
ad13965c-262e-45d7-82af-af7c03109339,4,5,5,4,Yes,4,4,3,3,,,,,,,,,,,,,,,,,,,,
e60dc71c-5aae-4ac2-b006-8419491a52da,,,,,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
ecb8cd47-02e0-4702-b88d-7f5f8687dd72,1,4,3,3,Yes,4,4,4,4,,,,,,,,,,,,,,,,,,,,
3d543f39-58bb-410f-9cfb-1c03df5ee4f7,,,,,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
9793239c-8a5c-4df0-8743-a04c4ce7bdb6,,,,,Yes,4,4,4,4,,,,,,,,,,,,,,,,,,,,
800cfe51-8e18-4af0-9b8f-c5cd176354cb,,,,,Yes,4,4,4,4,,,,,,,,,,,,,,,,,,,,
e1762af8-cf73-4a2b-8916-34698db2a660,,,,,Yes,4,4,4,2,,,,,,,,,,,,,,,,,,,,
ddaadb72-a0e8-4f59-adcc-588e6477223e,,,,,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
b5fcdf16-c222-4ad9-91bb-1eea97c6f88e,4,4,3,3,Yes,5,4,4,4,,,,,,,,,,,,,,,,,,,,
41898bea-9768-48c8-bbdc-3fc560dd91d4,2,4,3,3,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
c42e037f-4935-4d38-bb02-e95d138585a3,,,,,Yes,3,4,4,4,,,,,,,,,,,,,,,,,,,,
19308c9a-dc02-4220-b93c-6ce24ea08a3b,,,,,Yes,3,4,4,4,,,,,,,,,,,,,,,,,,,,
e05615e6-8c9a-40e0-a8e7-2817b259cdd1,3,3,3,3,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
0682771e-7d23-46d0-8fb7-5ac0fb2935e9,4,4,5,4,Yes,5,5,4,4,,,,,,,,,,,,,,,,,,,,
db14febd-34b7-47c3-9485-f62ede61fa2e,,,,,Yes,3,3,3,3,,,,,,,,,,,,,,,,,,,,
0d53789a-af60-4521-9340-eef351f938d3,,,,,Yes,5,5,5,5,,,,,,,,,,,,,,,,,,,,
2abef800-3ab0-4292-b485-44d90cb137dd,2,4,4,2,Yes,4,4,4,4,,,,,,,,,,,,,,,,,,,,
8d64bb98-eb02-460c-af14-ae5fe208bdfd,,,,,Yes,4,5,5,4,,,,,,,,,,,,,,,,,,,,
9948814b-4aad-4397-9115-9935587b81dd,,,,,Yes,4,5,5,5,,,,,,,,,,,,,,,,,,,,
67cfc367-da00-4d31-b44a-aa6e427a9723,,,,,Yes,3,4,4,4,,,,,,,,,,,,,,,,,,,,
29bf02aa-f45a-4178-97e4-837d8c516cba,,,,,Yes,4,4,5,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,